Species,P111,P112,P121,P122,P131,P132,P211,P212,P221,P222,P231,P232,P311,P312,P321,P322,P331,P332,P411,P412,P421,P422,P431,P432,P511,P512,P521,P522,P531,P532,P611,P612,P621,P622,P631,P632
Acer pseudoplatanus L.,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,
Achillea millefolium L.,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,
Aconitum napellus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ajuga reptans L.,,,,,1,2,8,0.6,8,3,1,,1,3,5,10,8,2,,,,,1,2,,,0.7,15,2,1,5,1,5,1,8,3
Alchemilla coriacea aggr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
Alchemilla vulgaris aggr.,2,0.1,,2,0.3,2,0.5,0.5,,,1,,1,0.3,1,,,,,1,,0.3,10,5,0.3,,,,,,,0.5,,,0.3,
Alopecurus pratensis L.,1,,15,3,,,,,,,,,,,,,,,,,,0.1,,1,,,,,0.3,25,,,,,,
Anthoxanthum odoratum L.,15,8,20,10,15,1.5,10,1,0.5,6,10,0.1,8,8,8,2,3,2,8,8,6,8,3,5,3,0.8,0.2,0.8,5,,,7,0.2,1,15,15
Bartsia alpina L.,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,
Bellis perennis L.,,,,0.5,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,
Briza media L.,,0.1,,,,,1,1,4,,1,0.3,4,18,,,4,,,0.8,,,,0.001,,1,0.3,,,,,3,0.4,4,1,8
Bromus hordeaceus L. subsp. hordeaceus,,,3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caltha palustris L.,5,15,8,30,15,0.5,12,10,7,5,10,10,6,,10,8,2,0.5,7,15,12,7,8,2,20,50,25,5,3,25,5,6,30,0.1,0.8,10
Campanula rotundifolia L.,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,
Cardamine pratensis aggr.,0.5,,,0.1,,,,,,,,,,,,,,,0.2,,,0.01,,,,,,,,,,,,,,
Carex appropinquata Schumach.,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex canescens L.,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex davalliana Sm.,,,,,,0.5,,30,12,,2,20,0.2,18,4,2,0.8,,,,,5,,,,,2,,,,2,10,5,5,18,
